name,lat,lon,hp,tags
調布っ子ダイニングペコリ,35.652275,139.545364,https://www.pecori-five.jp/,"['ダイニングバー', '居酒屋', 'イタリアン', '飲食店']"
焼き鳥・もつ鍋一揆調布布田店,35.650623,139.551254,-,"['焼き鳥', 'もつ鍋', '居酒屋', '飲食店']"
宝珠パン（HOUJYUPAN【旧店名】宝珠庵）,35.655457,139.554367,-,"['パン', 'タピオカ', '飲食店']"
ねぐろ,35.661068,139.58345,http://torinegro.jp/,"['焼き鳥', '居酒屋', '飲食店']"
松屋布田店,35.651215,139.549927,http://www.matsuyafoods.co.jp/,"['牛丼', 'カレー', '食堂', '飲食店']"
調布バル・カベソン,35.652855,139.546097,http://nattyswanky.com/,"['バー', 'ヨーロッパ料理', 'スペイン料理', '飲食店']"
相撲めし皇風ノ店（キミカゼノミセ）,35.653118,139.545898,-,"['ちゃんこ鍋', '居酒屋', '焼き鳥', '飲食店']"
すし遊洛調布パルコ店,35.652805,139.543518,-,"['寿司', '飲食店']"
いっぷく,35.659264,139.521545,-,"['居酒屋', '食堂', '飲食店']"
きちんと料理工房仙川店,35.661739,139.584991,http://j-from-d.com/musashino/,"['居酒屋', '沖縄料理', '飲食店']"
石臼挽き蕎麦大むら,35.652252,139.52742,-,"['そば', 'うどん', '食堂', '飲食店']"
SHIEN2（シエンツーツー）,35.644192,139.536987,-,"['パスタ', '洋食', '飲食店']"
ポポラマーマ調布店,35.650585,139.543167,http://www.popolamama.com/,"['イタリアン', 'パスタ', 'カフェ', '飲食店']"
秀華,35.652672,139.567596,https://chofu.com/shuka/,"['ラーメン', '餃子', '油そば・まぜそば', '飲食店']"
魚亥子飛田給店（うおいね）,35.659733,139.522049,https://www.uoine.jp/,"['海鮮', '居酒屋', '寿司', '飲食店']"
ドトールコーヒーショップ調布南口店（DOUTORCOFFEESHOP）,35.650826,139.543777,https://www.doutor.co.jp/dcs/,"['カフェ', '飲食店']"
くいもの屋わん調布北口店,35.652164,139.544556,http://www.oizumifoods.co.jp/wan/index.html,"['居酒屋', '日本料理', '海鮮', '飲食店']"
ドーナツ工房　レポロ,35.660683,139.584641,http://www.leporo888.jp/,"['ドーナツ', '洋菓子', 'カフェ', '飲食店']"
クルア・タイ（KruaThai廚泰）,35.659538,139.573822,http://kruathai.cocolog-nifty.com/,"['タイ料理', 'カレー', '飲食店']"
とらふぐ亭調布店（トラフグテイ）,35.653736,139.544724,https://www.torafugu.co.jp/,"['ふぐ', '海鮮', '鍋', '飲食店']"
鳥貴族調布東口店,35.65189,139.545929,http://www.torikizoku.co.jp/shops/detail/641,"['焼き鳥', '鳥料理', '居酒屋', '飲食店']"
元氣七輪焼肉牛繁つつじケ丘店,35.658138,139.574066,-,"['焼肉', 'ホルモン', '韓国料理', '飲食店']"
麺飯坊　無双,35.64753,139.559418,https://menhanboumusou.gorp.jp/,"['中華料理', '担々麺', '飲食店']"
焼鳥一灯,35.650959,139.546021,http://itto.jpn.org,"['居酒屋', '焼き鳥', '日本酒バー', '飲食店']"
鯉寿司調布店,35.658154,139.540146,http://www.koisushi.co.jp,"['寿司', '飲食店']"
